Year,HRWWorg,HRWWconv,Ncost,ante.pr,winter.pr,growing.pr,march.gdd,july.gdd
2014,10.8,5.66,0.58692902,93.21407022,150.6266858,209.6271666,123.4655488,1809.32433
2014,12.07,6.08,0.532688889,93.21407022,150.6266858,209.6271666,123.4655488,1809.32433
2014,11.66,5.95,0.53194178,93.21407022,150.6266858,209.6271666,123.4655488,1809.32433
2014,10.46,5.54,0.53194178,93.21407022,150.6266858,209.6271666,123.4655488,1809.32433
2014,10.03,5.38,0.515505377,93.21407022,150.6266858,209.6271666,123.4655488,1809.32433
2014,9.98,5.36,0.484126788,93.21407022,150.6266858,209.6271666,123.4655488,1809.32433
2014,9.28,5.08,0.484126788,93.21407022,150.6266858,209.6271666,123.4655488,1809.32433
2015,9.72,5.26,0.503220109,140.5415722,86.51262257,209.3534932,228.3909775,2050.689911
2015,9.59,5.21,0.524293478,140.5415722,86.51262257,209.3534932,228.3909775,2050.689911
2015,8.13,4.55,0.509347826,140.5415722,86.51262257,209.3534932,228.3909775,2050.689911
2015,7.76,4.35,0.506059783,140.5415722,86.51262257,209.3534932,228.3909775,2050.689911
2015,7.96,4.46,0.496195652,140.5415722,86.51262257,209.3534932,228.3909775,2050.689911
2015,7.68,4.3,0.472282609,140.5415722,86.51262257,209.3534932,228.3909775,2050.689911
2015,7.75,4.34,0.472282609,140.5415722,86.51262257,209.3534932,228.3909775,2050.689911
2015,7.8,4.37,0.466304348,140.5415722,86.51262257,209.3534932,228.3909775,2050.689911
2015,7.54,4.22,0.466304348,140.5415722,86.51262257,209.3534932,228.3909775,2050.689911
2016,6.97,3.84,0.34,66.46196268,119.4092813,139.7821021,220.3872644,2038.092749
2016,6.39,3.32,0.34,66.46196268,119.4092813,139.7821021,220.3872644,2038.092749
